state,count
"California",161
"Texas",93
"Florida",73
"Arizona",50
"North Carolina",36
"Colorado",32
"Oklahoma",32
"Georgia",30
"Illinois",29
"Ohio",28
"Alabama",27
"Washington",27
"New York",25
"Tennessee",25
"Pennsylvania",24
"Missouri",23
"Arkansas",22
"Kentucky",22
"Louisiana",22
"New Mexico",22
"Indiana",20
"Virginia",19
"South Carolina",18
"Wisconsin",18
"Oregon",17
"Maryland",16
"Michigan",16
"Nevada",15
"Massachusetts",14
"Minnesota",14
"New Jersey",14
"West Virginia",13
"Kansas",11
"Mississippi",11
"Alaska",8
"Nebraska",8
"Utah",8
"Hawaii",7
"South Dakota",6
"Connecticut",5
"District of Columbia",5
"Iowa",5
"Idaho",5
"Montana",5
"Maine",2
"New Hampshire",2
"Rhode Island",2
"Vermont",2
"Wyoming",2
"Delaware",1
"North Dakota",1
